metric_name,metric_category,metric_type,data_provider
any_critical_controversy,Controversy Metrics,boolean,Clarity.ai
controv_access_to_basic_services,Controversy Metrics,float,Clarity.ai
controv_accounting_and_taxation,Controversy Metrics,float,Clarity.ai
controv_animal_welfare,Controversy Metrics,float,Clarity.ai
controv_animal_welfare_sc,Controversy Metrics,float,Clarity.ai
controv_anticompetitive_practices,Controversy Metrics,float,Clarity.ai
controv_bribery_and_corruption,Controversy Metrics,float,Clarity.ai
controv_bribery_and_corruption_sc,Controversy Metrics,float,Clarity.ai
controv_business_ethics,Controversy Metrics,float,Clarity.ai
controv_business_ethics_sc,Controversy Metrics,float,Clarity.ai
controv_carbon_impact_of_products,Controversy Metrics,float,Clarity.ai
controv_community_relations,Controversy Metrics,float,Clarity.ai
controv_community_relations_sc,Controversy Metrics,float,Clarity.ai
controv_corporate_governance,Controversy Metrics,float,Clarity.ai
controv_data_privacy_and_security,Controversy Metrics,float,Clarity.ai
controv_emissions_effluents_and_waste,Controversy Metrics,float,Clarity.ai
controv_emissions_effluents_and_waste_sc,Controversy Metrics,float,Clarity.ai
controv_employees_human_rights,Controversy Metrics,float,Clarity.ai
controv_employees_human_rights_sc,Controversy Metrics,float,Clarity.ai
controv_energy_use_and_ghg_emissions,Controversy Metrics,float,Clarity.ai
controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,float,Clarity.ai
controv_environmental_impact_of_products,Controversy Metrics,float,Clarity.ai
controv_intellectual_property,Controversy Metrics,float,Clarity.ai
controv_labour_relations,Controversy Metrics,float,Clarity.ai
controv_labour_relations_sc,Controversy Metrics,float,Clarity.ai
controv_land_use_and_biodiversity,Controversy Metrics,float,Clarity.ai
controv_land_use_and_biodiversity_sc,Controversy Metrics,float,Clarity.ai
controv_lobbying_and_public_policy,Controversy Metrics,float,Clarity.ai
controv_marketing_practices,Controversy Metrics,float,Clarity.ai
controv_media_ethics,Controversy Metrics,float,Clarity.ai
controv_occupational_health_and_safety,Controversy Metrics,float,Clarity.ai
controv_occupational_health_and_safety_sc,Controversy Metrics,float,Clarity.ai
controv_quality_and_safety,Controversy Metrics,float,Clarity.ai
controv_sanctions,Controversy Metrics,float,Clarity.ai
controv_social_impact_of_products,Controversy Metrics,float,Clarity.ai
controv_society_human_rights,Controversy Metrics,float,Clarity.ai
controv_society_human_rights_sc,Controversy Metrics,float,Clarity.ai
controv_water_use,Controversy Metrics,float,Clarity.ai
controv_water_use_sc,Controversy Metrics,float,Clarity.ai
controv_weapons,Controversy Metrics,float,Clarity.ai
critical_controv_access_to_basic_services,Controversy Metrics,boolean,Clarity.ai
critical_controv_accounting_and_taxation,Controversy Metrics,boolean,Clarity.ai
critical_controv_animal_welfare,Controversy Metrics,boolean,Clarity.ai
critical_controv_animal_welfare_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_anticompetitive_practices,Controversy Metrics,boolean,Clarity.ai
critical_controv_bribery_and_corruption,Controversy Metrics,boolean,Clarity.ai
critical_controv_bribery_and_corruption_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_business_ethics,Controversy Metrics,boolean,Clarity.ai
critical_controv_business_ethics_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_carbon_impact_of_products,Controversy Metrics,boolean,Clarity.ai
critical_controv_community_relations,Controversy Metrics,boolean,Clarity.ai
critical_controv_community_relations_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_corporate_governance,Controversy Metrics,boolean,Clarity.ai
critical_controv_data_privacy_and_security,Controversy Metrics,boolean,Clarity.ai
critical_controv_emissions_effluents_and_waste,Controversy Metrics,boolean,Clarity.ai
critical_controv_emissions_effluents_and_waste_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_employees_human_rights,Controversy Metrics,boolean,Clarity.ai
critical_controv_employees_human_rights_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_energy_use_and_ghg_emissions,Controversy Metrics,boolean,Clarity.ai
critical_controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_environmental_impact_of_products,Controversy Metrics,boolean,Clarity.ai
critical_controv_intellectual_property,Controversy Metrics,boolean,Clarity.ai
critical_controv_labour_relations,Controversy Metrics,boolean,Clarity.ai
critical_controv_labour_relations_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_land_use_and_biodiversity,Controversy Metrics,boolean,Clarity.ai
critical_controv_land_use_and_biodiversity_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_lobbying_and_public_policy,Controversy Metrics,boolean,Clarity.ai
critical_controv_marketing_practices,Controversy Metrics,boolean,Clarity.ai
critical_controv_media_ethics,Controversy Metrics,boolean,Clarity.ai
critical_controv_occupational_health_and_safety,Controversy Metrics,boolean,Clarity.ai
critical_controv_occupational_health_and_safety_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_quality_and_safety,Controversy Metrics,boolean,Clarity.ai
critical_controv_sanctions,Controversy Metrics,boolean,Clarity.ai
critical_controv_social_impact_of_products,Controversy Metrics,boolean,Clarity.ai
critical_controv_society_human_rights,Controversy Metrics,boolean,Clarity.ai
critical_controv_society_human_rights_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_water_use,Controversy Metrics,boolean,Clarity.ai
